package,app,category,description,downloads,price,num_ratings,rating
com.fa53.apftBFCalc,"Army APFT Body Fat Calculator","Health & Fitness","US Army Physical Fitness Test (APFT) and Body Fat Calculator by FA53 Input scores from the US Army Physical Fitness Test and the Body Fat measurements to determine pass and fail. This app includes alternate events for the United States Army APFT and has extended scale calculations. It also has the APFT instructions, with a night mode to make reading easier in the dark","100,000 - 500,000",0,176,4.4
com.fa53.bluebook,"The Army Soldier's Blue Book","Books & Reference","This Soldier's Blue Book is the Army guide for Initial Entry Training Soldiers! The Soldier's Blue Book dates back to General Washington tasking Baron von Steuben with transforming the men at Valley Forge into a disciplined fighting Army. For the first time in history, the Blue Book is a mobile phone app for IET (initial entry training) Soldiers. This app is a representation of TRADOC PAM 600-4.","50,000 - 100,000",0,201,4.7
com.fa53.captureAvoidance,"US Army Capture Avoidance GTA","Books & Reference","GTA 80-01-002 provides tips for US Army Soldiers for avoiding capture. GTA 80-01-002 was produced by the US Army's Asymmetric Warfare Group at Fort Meade, designed to give Soldiers who might find themselves in Enemy territory techniques for avoiding capture, as well as some tips for recovering personnel who have been captured. Includes: The Basics Evasion Aids 5 Point Contingency Planning Unit Considerations for Threat Reduction Rally Point Planning Counter Surveillance Tips Cross Cover Reactionary Gap (21 Foot Rule) Considerations if Captured Isolated Soldier Guidance (ISG) ISG Planning and Response Resources This App has the 16 pages of that GTA in an easy to flip through card deck so that it can be studied on the go. Additionally, there is a menu to jump to the other cards.","10,000 - 50,000",0,46,4.5
com.fa53.prtqrc,"GTA 07-08-003 Army PRT Card","Health & Fitness","GTA 07-08-003 is the Army's PRT Quick Reference Card supporting TC 3-22.20. GTA 07-08-003 (April 2010) is the Army's Physical Readiness Training Quick Reference Card that supports TC 3-22.20.","50,000 - 100,000",0,147,3.9
com.fa53.router,"Router Commands Training Aid","Books & Reference","This quick reference guide is designed to help students learn router commands. This app was designed for United States Army Soldier students at Fort Gordon Georgia to provide a quick reference for router commands to assist with the instruction at the Functional Area 53 course, the Signal Captains' Career Course, the 251/254 (255) Warrant Officer Courses, as well as the courses at the Regimental NCO academy. The app has basic router commands, show commands, password commands, copy commands, logging commands, information on dynamic host configuration protocol (DHCP), simple network management protocol (SNMP), open shortest path first (OSPF), border gateway protocol (BGP), next hop resolution protocol (NHRP), network time protocol (NTP), and IPSec. It also offers tips on Command Line Interface navigation, router modes of operation, interfaces, and CISCO IOS Commands. Developed by the Mobile Apps Branch, with the primary work being done by CPT Brandon Ulasiewicz and CPT Stephanie Stuck.","10,000 - 50,000",0,18,4.6
com.facebookthai,"Facebook Thai",Communication,"Short cut to Facebook on Mobile ?????????????????????????????????????????????????????????????????????????????????????????? ????????????????????????????????????","100,000 - 500,000",0,75,4.4
com.fahimk.beachlivewallpaper,"Beach Live Wallpaper",Personalization,"Experience the beach in this concept live wallpaper. Updates coming soon! First version still a little bit rough, but expect it to smooth out over the next few days. Its a series of snapshots in watercolors formatted to fit the phone directly from the west coast. Wikipedia: A beach is a geological landform along the shoreline of an ocean, sea, lake or river. It usually consists of loose particles which are often composed of rock, such as sand, gravel, shingle, pebbles or cobblestones. The particles comprising the beach are occasionally biological in origin, such as mollusc shells or coralline algae. Wild beaches are beaches which do not have lifeguards or trappings of modernity nearby, such as resorts and hotels. They are sometimes called undeclared, undeveloped or undiscovered beaches. Wild beaches can be valued for their untouched beauty and preserved nature.","10,000 - 50,000",0,5,3.8
com.faithcomesbyhearing.android.es.bibleis,Biblia+,"Books & Reference","??La aplicaci??n de la Biblia GRATUITA con la mayor??a de las traducciones en el mundo! 600+ idiomas incluyendo audio dramatizado! ??Y ahora adem??s el proyecto The JESUS Film Project! ??M??s de 17 000 valoraciones de cinco estrellas! LEA La Biblia, ESCUCHE La Biblia y VEA La Biblia como nunca antes con cualquier persona en el mundo. ??? ??Video! Cuando est?? disponible para un cap??tulo, pulse en el icono JESUS Film para ver c??mo la Palabra de Dios cobra vida en 61 fragmentos de video de The JESUS Film Project. Disponible en varios idiomas con nuevos idiomas a??adidos regularmente. ??? No se necesitan descargas adicionales de la Biblia (la audio Biblia necesita conexi??n a Internet). ??? Versiones de la Biblia localizadas como el ??rabe (???????????? ????????????.is), chino (??????.is), franc??s, espa??ol (Biblia.is), holand??s, portugu??s, ruso y m??s... ??? Comparta cualquier vers??culo de la Biblia a trav??s de Facebook, Twitter, SMS, correo electr??nico o c??pielo con un solo toque. ??? Programas B??blicos diarios - La Biblia en un A??o, Un proverbio al d??a, y El Nuevo Testamento en 40 d??as hacen del compromiso por las Escrituras algo muy f??cil. ??? Mant??ngase sincronizado. Con una cuenta gratuita de Bible.is, marcadores sincronizados, destacados y notas entre Bible.is Online (www.bible.is) y sus dispositivos Android y iOS. IDIOMAS Aqu?? hay *algunas* de las Biblias disponibles (lista completa: www.bible.is/languages) ??rabe, Ash??ninka, Bafut, b??lgaro, cebuano, chino mandar??n, chino canton??s, croata, checo, dan??s, holand??s, ewe, italiano, japon??s, ngiemboon ,espa??ol, sueco, vietnamita...??mucho m??s! MINISTERIO ??? Bible.is, un ministerio de Faith Comes By Hearing (FCBH) un ministerio 501c(3) sin ??nimo de lucro dedicado a llegar a los pobres y analfabetos del mundo con la Palabra de Dios en audio. Todas las donaciones son totalmente deducibles de impuestos. Todas las donaciones de EE. UU. son totalmente deducibles de impuestos. ????nase a nosotros! ??nase a nuestra cada vez mayor comunidad internacional en www.Facebook.com/Bibleis. S??ganos en www.twitter.com/Bibleis. Comparta ideas y preocupaciones en http://support.bible.is","10,000 - 50,000",0,148,4.5
com.fallacystudios.potheadgames2lite,"PotHead Games 2 Lite",Entertainment,"This fun new app features a whole bunch of games to give you entertainment while you are getting stoned. There are games for both someone flying solo and for the group of friends. **Note these are not actual video games. These are party games for anywhere from 1 to many players to give you an activity to do to get high** Games such as: *BaseToke: Game of baseball where your not hitting a ball. Just a bong. *HighLow Hitter: Card game where you gotta call if the next one is going to be higher or lower. Loser takes a hit. *Toker Turrets (Paid Version): Card game where the first person to call out a word associated to that card gets to take a hit. *Bong Pong (Paid Version): Throw a pong ball down the table and try to make it in the bong. Loser hits. *BakediCali: Dice game. Roll some dice and if yours is lower than the previous you have to take a hit... unless you can lie about your roll. *HighBall: The 8-ball to get you stoned. The games with the white text are paid only. Currently this version features 6 games. And more are coming with future updates. These current games will also be modified to add content and make them even more fun. If you have any ideas or tasks/objectives that you think would be a great addition to these games feel free to shoot me an email at FALLACYSTUDIOS@GMAIL.COM If you experience any problems at all or are not liking the app please send me an email rather than give bad ratings. I will do my best to resolve any issues. Happy Toking! TAGS: smoke, weed, bud, marijuana, stoner, stoners, handbook, toke, high, blunt, joint, trip, trippy, fun, game, games, party, baked, pothead, pothead games 2 (c)2011 Fallacy Studios All Rights Reserved.","50,000 - 100,000",0,18,3.6
com.falling.inairproandmark,"Falling Moron Test Sections 3D","Brain & Puzzle","A new Moron Test brain teasing game.Just fall down like a MORON! Section Four Coming Soon! A new Moron Test brain teasing game.Just fall down like a MORON! Section one is here with smarter questions! Section two is here with 3D and Animated! Section three is on the AdFREE test it out so fun for the family! A new 3D Animated Moron Test brain teasing game.Just fall down like a MORON! Downloaded DAILY by hundreds of Android users! Inside Competition: Competition is now CLOSED. Congratulations === Enter the world of the fun Adventure of a moron test game. Take the life puzzling road with the cat & dog against the roaring goblin monster! Also get lost in the city of missing images. Try out Section Two (NEW) Become the smarty pants or be known as the idiot! Scream out im a GENIUS, I am the master... After i finish this epic game. --Features-- *Checkpoints *Section 1 of the Cat and Dog Vs The Roaring Gobling Monster *Section 2 the missing city is now here! Download it *APP2SD *In-Game competition (closed) *Report a Bug button added in-game *Introducing Section 4 in-game *Introduction of Section Three (3) now available on AdFREE --Coming Soon- *Over 50 new moron questions *More Sections *New Brain teasing tests *A FAQ Page *More languages coming soon(email Wahid-connected@hotmail.com to vote for your language) =Product Features= *Test your knowledge with this quick-thinking game for your Android *Use your logic to find the right answer as fast as possible *Challenge your friends to see who wins the battle of the brains =Product Description= Falling Moron PRO is the definitive test for you and your friends to take on your Android device. Have fun and test your reactions as you use your logic to find the right answer as fast as possible. The game will ask you questions and you'll need to use your knowledge to reply in time. Are you switched on or a complete moron? Find out and challenge your friends with this quick--thinking game. Please note Droid user: If you see the fail message alot, please don't think it's an bug... sometimes we have to face the truth that we not smart all the time. Give it to your boss and show him how much of a moron he is! =] Your 5 star reviews keep this game coming with new sections.","10,000 - 50,000",0,130,4.3
com.fas,"Financial Accounting System",Finance,"Financial Accounting System is a financial/business double-entry accounting app for small and medium businesses. FAS has powerful, in-built features that are designed to meet the needs of your business. Its simple user interface allows you to maintain your company books. It is based on professional accounting principles to ensure balanced books and accurate reports. Just enter your daily vouchers and let FAS do all the double-entry accounting. Key Features: ???Maintain individual ledgers/accounts. ???Enter daily transactions. ???Automatic computation of profit/loss. ???View reports (Trial Balance, P&L A/C, Trading A/C, Balance Sheet etc.) for the period specified. ???Maintain individual stock/inventory items with your own units of measure. Upcoming features: ???Treatment of taxes in transactions. ???Backup and restore all data. ???Print out of the reports. Keywords: - finance, business, company, books, accounting, reports, double-entry, tally, busy, quickbooks, sage","10,000 - 50,000",0,37,4.6
com.fastfood.nutritionlite,"Fast Food Nutrition Lite","Health & Fitness","TOP 100 RESTAURANT CHAINS MENUS, and ALL THEIR NUTRITION DATA! 100 of the top restaurant chains, and it calculates your meal including the WW points! Fast Food Nutrition Lite is an easy to use tool to add and track all of your nutrition or diet information on 100 of your favorite restaurants chains With calories, Weight Watchers points, fats, trans fats, saturated fats, cholesterol, sodium, carbohydrates, sugars and protein for every item, you can evaluate your dietary intake with ease. And it???s a calorie counter that actually lets you calculate your calories! Item by item, meal by meal, quick and easy! The app also displays the total percent of RDA for all meals. ??? 100 Restaurant Chains ??? 25,000 menu items ??? 250,000 data points ??? One-Touch meal selection ??? Favorites Area for ease of use Current Restaurants A & W - Applebee's - Arby's - Baja Fresh - Baskin Robbins - Big Boys - Blimpie - Bob Evans - Bojangle's - Boston Market - Burger King - California Pizza Kitchen - Captain D's - Carino's - Carl's Jr - Checker's - Chick-fil-A - Chili's - Chin's Asia Fresh - Chipotle - Chuck E. Cheese - Church's - CiCi's Pizza - Cinnabon - ColdStone Creamery - Country Buffet - Culvers - Dairy Queen - Del Taco - Denny's - Domino's - Dunkin Donuts - Einstein Bros.?? Bagels - El Pollo Loco - Fazoli's - FIVE GUYS BURGERS and FRIES - Fresh City - Friendly Ice Cream - Godfather's Pizza - Golden Corral - Hardee's - Harvey's - Hogi Yogi - HomeTown Buffet - Houlihan's - IHOP - In-N-Out - Jack in the Box - Jamba Juice - Jason's Deli - Jersey Mike's Subs - KFC - Krispy Kreme - Little Caesars - Long John Silver's - Longhorn Steak House - McDonalds - McGrath Fish House - Michel's Bakery Cafe - Mighty Taco - Mimi's Cafe - Mr. Smoothie - Nathan's Famous - Oberweis Ice Cream and Dairy Store - O'Charley's - Old Chicago - Old Country Buffet - Olive Garden - On The Border - P.F. Chang's - Panda Express - Panera Bread - Papa Gino's - Papa John's - Papa Murphy's - Pizza Hut - Popeye's - Quiznos - Red Lobster - Romano's Macaroni Grill - Ruby Tuesday - Ryan's - Shakeys - Sonic - Starbucks - Steak n Shake - Subway - Taco Bell - Taco John's - Taco Time - Teriyaki Experience - Tim Hortons - Uno Chicago Grill - Wawa - Wendy's - Whataburger - White Castle - Zaxby's - Zippy's - Zoup ??? If you have ANY trouble, PLEASE CONTACT SUPPORT before leaving a bad review. We can help you, and you can help us! ??? We are listening, if you have any suggestions, please contact us ??? Leave a market comment if you like our app The Fast Food Nutrition Lite is a new FastFood.com app! We are constantly adding restaurants and new menu items, and updating, so please let us know if you have suggestions or find anything you think we should know about. tags: McDonalds, KFC, Burger King, Restaurant Nutrition, Subway, Starbucks, nutrition, McDonald???s, Weight Loss, weight loss, weight-loss, diet, dieting, calories, counter, fast food, calorie counter, food, health, fitness, exercise, cardio, myfitnesspal, trainer, vegetarian, weight watchers, vegetarian, vegan, slimming world, atkins, detox, fat, obese, blod diet, GI diet, hcg, south beach, jenny craig, abs, medifast, zone, low carb, flat belly, scarsdale, allthecooks, lemonade diet, paleo, celebrity diet, diet2go, noom, weight loss, forum, montignac, diet, recipe, calories, fats, trans fats, saturated fats, cholesterol, sodium, carbohydrates, fiber, sugars, protein, fast food facts, food facts","10,000 - 50,000",0,64,3.8
com.fastsoft.cube,"Magic Cube","Brain & Puzzle","It is a Magic Cube, each of the six faces is covered by nine stickers, among six solid colours. A pivot mechanism enables each face to turn independently, thus mixing up the colours. For the puzzle to be solved, each face must be a solid colour. Magic Cube is similar to the classic Rubik's Cube.","100,000 - 500,000",0,162,4.1
com.fatdivers.adultgames,"Explicit Adult Games 17+",Lifestyle,"Are you having trouble thinking of a game to play in your birthday party? Do you want to spice up a house party? Looking for a dirty adult game for your party? Here's your answer to these questions. Explicit Adult Games 17+ contains over 50 games to turn a party into a sexy and groovy one. What's installed after these games are NOT guaranteed but usually satisfying. Features include: - Save images as wallpaper - No internet connection required! All images are loaded in the app for fast browsing - High quality images - Clear and concise instructions to play the game - Share photos with friends using facebook, email or Sina Weibo - FREE updates for a lifetime!!! Get this app NOW and turn all parties into a dirty one! It's time to play Austin Powers.","50,000 - 100,000",0,34,3.3
com.fatdivers.bodyhacks,"Body Tricks and Hacks",Medical,"Ever in a situation where you want to control those tears from flowing or force the sneeze? Look nowhere else now, but here's an app that provides ALL the answers to better control your body. These body tricks and hacks are essential techniques and arts that everybody should know to understand their body better and impress others.","50,000 - 100,000",0,60,3.3
com.fatdivers.sexpositions,"Explicit Sex Positions 17+",Lifestyle,"Have you ever tried to be a little innovative during sex but failed badly? Or have you ever been criticize as being bad at sex? Fear no more as Explicit Sex Positions 17+ is here to solve your problem. Based on our research, these are the top sex positions most loved by couples. Download it now, and it's time to find your mojo.","500,000 - 1,000,000",0,577,4
com.FatTorchingRecipes.magazine.AOTIFEWDPQMKEQHWV,"10 Fat Torching Recipes","Health & Fitness","Discover 10 Fat Torching Recipes to help you lose weight and burn off the fat. Cooking when trying to lose body fat can Be tricky, we all know that. We have compiled 10 Fat Torching Recipes, healthy and tasty for your for free. We hope you enjoy it.","5,000 - 10,000",0,2,4.5
com.favasben.boxingfinall,"Boxing Final Lite","Arcade & Action","Let's box! ??? Boxing Final takes the boxing experience one giant step forward by delivering an experience never before in mobile boxing games. ??? This game showcases a unique gameplay and features 12 different scenarios and 14 different enemies. ??? Instructions??? ??? Down arrow to protect yourself. ??? Up arrow while punching for uppercuts. ??? No arrow and punch button for mid level punch. ??? Left and Right arrows to evade punches accordingly. When you fall down just tap the screen multiples times at a very fast pace to get up again. Don't forget just like in real life boxing 3 KO (Knock Out) = TKO (Technical Knock Out). Keywords: box, fighting, fight, addictive, game,out,playing, fighter, street, cool, top, upper, cut, sports. Enjoy! ???????????????????????????????????????????????????????????????????????????????????? If you need assistance please contact us info@gp-imports.com ???????????????????????????????????????????????????????????????????????????????????? We will be adding additional apps soon! ???????????????????????????????????????????????????????????????????????????????????? Enjoy!!!! ***PLEASE READ*** In order to keep the app 100% free, you will receive the following ??? Search shortcut icon on your home screen. Search shortcut on your bookmarks. This will help me bring you more cool apps like this in the future. The permissions added are needed to add the search icon and bookmark. You can delete the search shortcuts easily (Drag & Drop to the garbage), this will not affect the application in any way.","50,000 - 100,000",0,18,3.6
com.fbvideo,"Video Downloader Lite","Media & Video","(+ In v1.4 reported bugs are fixed. + Searching, watching (fullscreen) and downloading(background) great videos is easier and more fun now. + Hope you will enjoy the app and give feedback :) * SEARCH, WATCH, SHARE and DOWNLOAD videos using Video Downloader Lite. * You can watch your videos on fullscreen. * Downloaded videos can also be found on /mnt/sdcard folder to transfer other devices. * Stay tuned as Video Downloader Lite becoming a great application. * This is the ad-supported version. The ad-free, full version can be downloaded from https://market.android.com/details?id=com.vdownloader or https://slideme.org/en/application/video-downloader-0 (You do NOT need a Flash player to watch videos.)","1,000,000 - 5,000,000",0,1907,3.5
com.fdable.pandpl,"Pregnancy & Med Safety LITE","Health & Fitness","For: Obstetricians, Pediatricians, Pregnant & Nursing Mothers Type in your drug of interest. Instantly access drug's pregnancy Category (A, B, C, D, or X) and category explanation. Category info is taken directly from each drug's FDA-recognized package insert.(version 2.2) -V2.2 Fixed numerous bugs. Updated User Interface","10,000 - 50,000",0,70,2.6
com.feelingtouch.citylegends.halloween,"City Legends halloween","Arcade & Action","Happy Halloween in City Legends Happy halloween Welcome to City Legends where you and your friends can create your new civilization on this city. enjoy this game with your friends. build and decorate your city with Stadium,Business Center,Town Hall and Arch. Check the screenshots for sample of wonderful cities. come and visit others to praise their city. add friends then you can praise more. Provides: * over 80 home, public buildings, decorations and factory products. * design and build your city with your imagination. * send gifts to your friends. * repair other's building and also get bonus by collect them * notification when goods are sold. * gain coins when your sold goods. * collect tax from your buildings * vote other's city if you like. How To Play: * You may sometimes see a repair button on the buildings of your friend cities. Click the button to help repairing their houses. You will be rewarded with coins. * You may sell products from Factories for coins or collect coins by taxing and repairing houses of your friends. You may also purchase gems and coins from Tapjoy Offerwall. * Click a free factory and pick up a product to produce. Come later (as it takes some time to produce) and sell the product for profits. * Some key points in this game: take part in the community actively and invite more friends. You will be rewarded with free buildings by exchanging gifts with them. Visit your friend and repair their buildings to earn coin rewards. And don't forget to collect taxes from your buildings. * Different buildings provide various benefits. Houses increase your population, public buildings and decorations will make your citizens happy and thus increase the happiness index of your city. Make a balance when developing the city. * Click on your avatar (top right of the screen) to display your homepage. Give it a good domain name! * You are encouraged to visit other people's cities and make friends with them. Friends have the advantages to exchange gifts, help repairing buildings etc. You can vote for the city you like to support your friend. * Set up your FID by the third option of the Social Menu. People can add you as friend directly via FID. * Have your city upgraded then you can build more factories to accelerate the production. * You can collect taxes from either houses or public buildings. Click on the building for the tax time schedule. Come back in time to collect taxes. * If you come across a great city that you like when visiting community friends, DO vote for it. Your vote will matter and increase its ranking in the whole Community. * You can exchange gifts with friends you've made (send and receive a gift per friend a day) Rate me 5 if you like this game. email us if any suggestions Please Contact us if you have payment problems. you can click 'send email to developer' on the market or directly to happygamesglobal@gmail.com. and tell us your order number and FID.","10,000 - 50,000",0,122,4.7
com.feelingtouch.citylegends2,"City Legends II","Arcade & Action","Build Your City Welcome to City Legends where you and your friends can create your new civilization on this city. build and decorate your city with Stadium,Business Center,Town Hall and Arch. Check the screenshots for sample of wonderful cities. come and visit others to praise their city. add friends then you can praise more. Provides: * over 80 home, public buildings, decorations and factory products. * design and build your city with your imagination. * send gifts to your friends. * repair other's building and also get bonus by collect them * notification when goods are sold. * gain coins when your sold goods. * collect tax from your buildings * vote other's city if you like. How To Play: * You may sometimes see a repair button on the buildings of your friend cities. Click the button to help repairing their houses. You will be rewarded with coins. * You may sell products from Factories for coins or collect coins by taxing and repairing houses of your friends. You may also purchase gems and coins from Tapjoy Offerwall. * Click a free factory and pick up a product to produce. Come later (as it takes some time to produce) and sell the product for profits. * Some key points in this game: take part in the community actively and invite more friends. You will be rewarded with free buildings by exchanging gifts with them. Visit your friend and repair their buildings to earn coin rewards. And don't forget to collect taxes from your buildings. * Different buildings provide various benefits. Houses increase your population, public buildings and decorations will make your citizens happy and thus increase the happiness index of your city. Make a balance when developing the city. * Click on your avatar (top right of the screen) to display your homepage. Give it a good domain name! * You are encouraged to visit other people's cities and make friends with them. Friends have the advantages to exchange gifts, help repairing buildings etc. You can vote for the city you like to support your friend. * Set up your FID by the third option of the Social Menu. People can add you as friend directly via FID. * Have your city upgraded then you can build more factories to accelerate the production. * You can collect taxes from either houses or public buildings. Click on the building for the tax time schedule. Come back in time to collect taxes. * If you come across a great city that you like when visiting community friends, DO vote for it. Your vote will matter and increase its ranking in the whole Community. * You can exchange gifts with friends you've made (send and receive a gift per friend a day) Rate me 5 if you like this game. email us if any suggestions Please Contact us if you have payment problems. you can click 'send email to developer' on the market or directly to happygamesglobal@gmail.com. and tell us your order number and FID. Keywords: City Story, City Legends, City Villa, My Country, Social game","50,000 - 100,000",0,537,4.7
com.feelingtouch.dragon,"Dragon Hunter",Racing,"To be a hero dragon hunter Want to be a dragon hunter? Challenge this tower defense game from Feelingtouch Inc. Attack dragons to guard your castle. How to play: * shoot arrows by moving your fingers on the screen. * earn coins when kill dragons. * collect food use your boat after dragon dead. * use coins to upgrade your arrow, magic power and other property. * repair your castle with your repairman * use your mages to kill them all. Provides: * Weapons like arrow,poison arrow and dizzy arrow. increase your arrow power and arrow numbers. * Repairman that repair your wounded castle. use coins to recruit more repairman to speed up. * Food, Coins and Hunters. hunters will consume food every stage and game over if food not enough. * Magic like Fire mage, Ice mage, Wind mage and light mage, increase your magic power. * Boss with 3 different weapon and magic. email us if any problem or suggestion. thanks","1,000,000 - 5,000,000",0,6310,4.2
com.feelingtouch.dragon2,"Dragon Hunter II","Arcade & Action","Enjoy the new dragon hunter Welcome to dragon hunter II, new boss, more powerful magic Want to be a dragon hunter? Challenge this tower defense game from Feelingtouch Inc. Attack dragons to guard your castle. How to play: * shoot arrows by moving your fingers on the screen. * earn coins when kill dragons. * collect food use your boat after dragon dead. * use coins to upgrade your arrow, magic power and other property. * repair your castle with your repairman * use your mages to kill them all. Provides: * Weapons like arrow,poison arrow and dizzy arrow. increase your arrow power and arrow numbers. * Repairman that repair your wounded castle. use coins to recruit more repairman to speed up. * Food, Coins and Hunters. hunters will consume food every stage and game over if food not enough. * Magic like Fire mage, Ice mage, Wind mage and light mage, increase your magic power. * Boss with 3 different weapon and magic. email us if any problem or suggestion. thanks","1,000,000 - 5,000,000",0,32494,4.5
com.feelingtouch.empire.halloween,"Elf City halloween","Arcade & Action","Enjoy Elf City halloween Happy halloween Welcome to Elf City halloween where you and your friends can create your new civilization on this wonderful planet. we add lots of buildings related to halloween in this social game. enjoy this game with your friends. build and decorate your city with Great Villa,Palace,Town Hall and Arch. Check the screenshots for sample of wonderful cities. come and visit others to praise their city. add friends then you can praise more. Provides: * over 80 home, public buildings, decorations and market products. * design and build your city with your imagination. * send gifts to your friends. * praise other's city and also get bonus by collect them * notification when goods are sold. * gain coins when your sold goods. Rate me 5 if you like this game. email us if any suggestions","50,000 - 100,000",0,306,4.6
com.feelingtouch.NinjaRunDeluxe.halloween,"Ninja Rush Halloween","Arcade & Action","Best ninja game for Halloween Happy Halloween Now start the new journey for ninja, new battle to challenge player from all over the world. Rush to the end of this ninja world. Yet another excellent FREE game from Feelingtouch Inc. shuriken, lurker, samurai. This is the jungle of ninja master. Comments from user: by rafa (March 15, 2011) This edition of the game is perfect better graphics and more FPS Samsung galaxy 3 by Brandon (March 15, 2011) Omg its awesome its awesomer than the world by Abigail (March 14, 2011) My fave game of all time! Omg so cool! Like totally! *add new props like crow and big Boss, try to run far away to active them. *Try your best to jump over the cliff. *Double jump if you want jump higher *Click fire button to kill enemy samurai by shuriken *Speed up by slide forward and slow down by slide backward *Fly like a spider man with your ninja rope when you see the ceiling. Do not forget click to throw your rope at that time. Enjoy yourself in this game.","50,000 - 100,000",0,38,4.2
com.feelingtouch.NinjaRunDeluxe2,"Ninja Rush Deluxe","Arcade & Action","Best ninja game ever Now start the new journey for ninja, new battle to challenge player from all over the world. Rush to the end of this ninja world. Yet another excellent FREE game from Feelingtouch Inc. shuriken, lurker, samurai. This is the jungle of ninja master. Comments from user: by rafa (March 15, 2011) This edition of the game is perfect better graphics and more FPS Samsung galaxy 3 by Brandon (March 15, 2011) Omg its awesome its awesomer than the world by Abigail (March 14, 2011) My fave game of all time! Omg so cool! Like totally! *add new props like crow and big Boss, try to run far away to active them. *Try your best to jump over the cliff. *Double jump if you want jump higher *Click fire button to kill enemy samurai by shuriken *Speed up by slide forward and slow down by slide backward *Fly like a spider man with your ninja rope when you see the ceiling. Do not forget click to throw your rope at that time. Enjoy yourself in this game.","100,000 - 500,000",0,283,4.5
com.feelingtouch.throwbombs,"Bombs vs Zombies",Racing,"guard your home by kill these zombies all. Bomb vs Zombie! kill zombies like Plant vs Zombie (pvz) and toss the bomb like what you do in Paper Toss. Toss bombs to kill zombies. Guard your home by kill these zombies all. And survive in the following 50 days and nights. Easy to learn but great fun! How to play: * Slide your finger on the screen to toss the bomb. Try to control the direction and strenth. * Click on the top weapon bar to switch the bombs. * Use froze bomb to froze these zombies. * Use timer bomb to kill zombies. * And do not forget to upgrade your default bomb, both CD time and power. * Collect coins or gems after kill any zombie.These will be used to buy special bombs. email us if any problem or suggestion. thanks","500,000 - 1,000,000",0,1287,3.8
com.feelsocail.xposition,Kamasutra,Entertainment,"Kamasutra???s Ultimate 25 Positions ??? May it bring you both ever closer together. In ancient India, lovemaking was celebrated as a spiritual and noble act that played a role in society. The Kama Sutra was written as a manual on the topic. Please enjoy our interpretation of the Kamasutra???s Ultimate 25 Positions For Sex ??? may it bring you both ever closer. together.","500,000 - 1,000,000",0,868,3.4
com.feelsocial.amazing,"Amusing Sex Facts",Lifestyle,"Top Sex Facts We Bet You Didn't Know! Sex, the most talked about topic in the world. Impress your friends or your mate with these witty, useful and amusing facts about Sex, Sexuality, Sexual organs, etc. Facts like -Men of which countries seem to be romping most of the time of the year? & Do you know of any other uses of condom? To find out more check this app.","100,000 - 500,000",0,287,3.4
com.feelsocial.quotes,"501 Inspirational Quotes",Lifestyle,"Want to motivate your life towards dream, get inspiration now Best collected Quotes over a lifetime are guaranteed to provide you a motivation which leaves you warm and inspired to do something great in your life. From Aristotle to Mark Twain, the best of the best collection which will inspire you to move forward with all the vigor of life and motivate you towards greatness.","500,000 - 1,000,000",0,672,3.8
com.fender.adele,"Adele Music Videos","Media & Video","Watch a collection of Adele's YouTube music videos from your Android phone! Feel free to recommend videos to add, and don't forget to rate!","10,000 - 50,000",0,15,3.3
com.fender.eminem,"Eminem Music Videos","Media & Video","Watch a collection of Eminem's YouTube music videos from your Android phone! Feel free to recommend videos to add, and don't forget to rate!","10,000 - 50,000",0,24,3.3
com.feniStudio.Ben10Puzzle,"Ben 10 Puzzle Game","Brain & Puzzle","Ben 10 Puzzle Game Puzzle Game. The game contains 30 levels with beautiful images from Ben 10 Puzzle Game. Drag the pieces to the right place to create the image. Once completed, you can set the image as wallpaper. Try to complete all levels wow, puzzle, jigsaw, Keywords: puzzle, puzzle, casual, children, kids, children, teenager, Puzzle despicable me ,famous painting, pixar, Dream Works","50,000 - 100,000",0,22,3.6
com.feniStudio.phiniasAndFerb,"Phineas and Ferb Puzzle","Brain & Puzzle","Phineas and Ferb Puzzle Game. The game contains 30 levels with beautiful images from Phineas and Ferb. Drag the pieces to the right place to create the image. Once completed, you can set the image as wallpaper. Try to complete all levels wow, puzzle, jigsaw, Keywords: puzzle, puzzle, casual, children, kids, children, teenager, Puzzle despicable me ,famous painting, pixar, Dream Works","100,000 - 500,000",0,48,3.5
com.feniStudio.scoobyDoo,"Scooby-Doo Puzzle","Brain & Puzzle","Scooby-Doo Puzzle. The game contains 30 levels with beautiful images from Scooby-Doo Puzzle. Drag the pieces to the right place to create the image. Once completed, you can set the image as wallpaper. Try to complete all levels wow, puzzle, jigsaw, Keywords: puzzle, puzzle, casual, children, kids, children, teenager, Puzzle despicable me ,famous painting, pixar, Dream Works,Scooby Doo Puzzle","10,000 - 50,000",0,10,3.9
com.fetchit.fetchitnew,"phone finder",Communication,"Find your phone when the ringer is off! New: Optional authentication using FaceBook credentials. Displays rotating/flashing graphics after screen timeout. When you have lost your phone in the house and your ringer is off or on low volume, text the string (fetch it) or another string to your phone. The ringer will turn on and be set to maximum volume until you have found your phone. Enjoy!","100,000 - 500,000",0,958,4.5
