appName,appLabel
Handcent Emoji Plugin,fair
"Mr. Number-Block calls, texts",fair
Gmail,fair
FoxFi (WiFi Tether w/o Root),fair
Opera Mini browser for Android,fair
Photon Flash Player & Browser,fair
Current Caller ID,fair
Hangouts (replaces Talk),fair
Samsung Push Service,fair
chomp SMS,fair
XFINITY Connect,fair
HeyWire FREE Texting,fair
Wifi Hotspot & USB Tether Lite,fair
WiFi HotSpot / WiFi Tether,fair
Next Browser for Android,fair
Opera browser for Android,fair
Omegle Android FREE,fair
XDA-Developers,fair
Hotmail Connect,fair
ChatON,fair
FoxFi (Sprint/AT&T only),fair
TiKL Touch Talk Walkie Talkie,fair
chomp SMS emoji add-on,fair
YouMail Visual Voicemail,fair
Yahoo Messenger Plug-in,fair
PHONE for Google Voice & GTalk,fair
Bluetooth File Transfer,fair
Vonage MobileÌâå¨ Call Video Text,fair
Verizon Messages,fair
GO SMS Pro ChristmasEveThemeEX,fair
FREE Calls & Text by Mo+ Beta,fair
Contacts +,fair
Lango Messaging,fair
BOSS Revolution US,fair
yuilop: Free Calls & Free SMS,fair
Cartwheel,fair
Zillow Real Estate & Rentals,fair
Domino's Pizza USA,fair
Starbucks,fair
Daily Horoscope,fair
Birthday Cards for Facebook,fair
Coca-Cola Freestyle,fair
Horoscopes + daily fortune,fair
Tinder,fair
BeNaughty - Flirty Dating,fair
Wrapp,fair
Sleep as Android,fair
Pizza Hut,fair
"realtor.com real estate, homes",fair
Papa John's Pizza,fair
Neon Alarm Clock Free,fair
Life360 - Family Locator +more,fair
Michaels Stores,fair
Real Estate & Homes by Trulia,fair
Countdown Widget,fair
Dunkin' Donuts,fair
Get Free Stuff on Listia,fair
Kohl's,fair
KicksOnFire,fair
"Adfun - Friends, Prizes, Fun",fair
KBB.com Car Prices & Reviews,fair
Mirror,fair
Horoscope,fair
Jo-Ann,fair
Hobby Lobby Stores,fair
Houzz Interior Design Ideas,fair
Birthday Countdown Widget,fair
Trulia - Apts & Homes for Rent,fair
Vinted - Buy Sell Swap Fashion,fair
Alarm Clock PlusÌ¢èÏ‰Û_,fair
Horoscopes for Facebook,fair
PINK Nation,fair
Allrecipes.com Dinner Spinner,fair
AutoTrader.com,fair
Cars.com,fair
"7-Eleven, Inc.",fair
Great Clips Online Check-in,fair
Safeway,fair
JCPenney,fair
Best Wallpapers HD,fair
Timely Alarm Clock,fair
AE,fair
Food Network In the Kitchen,fair
AroundMe,fair
MixologyÌ¢‰Û_å¢ Drink Recipes,fair
Santa Biblia Reina Valera 1960,fair
Kamasutra - 3D Sex Positions,fair
MyDays X - Period & OvulationÌ¢‰Û_å¢,fair
"BigOven: 250,000+ Recipes",fair
CarMax,fair
AAA Mobile,fair
Alarm.com,fair
Wingstop,fair
H&M,fair
Emoji emotion keyboard,fair
Facebook,fair
Instagram,fair
Snapchat,fair
Twitter,fair
"Tango Messenger, Video & Calls",fair
Pinterest,fair
Vine,fair
"ooVoo Video Call, Text & Voice",fair
textPlus Free Text + Calls,fair
Tumblr,fair
LinkedIn,fair
FREE Calls with magicJack,fair
POF Free Online Dating,fair
MeetMe - Meet New People,fair
TextNow,fair
Ask.fm,fair
Tagged - Meet New People,fair
"Textfree: Text Free, Free SMS",fair
"Skout - Meet, Chat, Friend",fair
GroupMe,fair
Pixer,fair
FunForMobile Ringtones & Chat,fair
Badoo - Meet New People,fair
Video Calling,fair
Zoosk - #1 dating app,fair
Google+,fair
Bump,fair
Circle - The Local Network,fair
Video For Kik,fair
Foursquare,fair
OkCupid Dating,fair
Tapatalk,fair
Moco Chat,fair
SnapCapture for Snapchat,fair
AnastasiaDate,fair
Textfree With Voice Calling,fair
Emojidom Smileys & Emoji HD,fair
Hot or Not,fair
"Grindr - Gay, bi & curious guy",fair
Match.com Ì¢‰âÂ‰ÛÏ #1 Dating Site,fair
Zello PTT Walkie-Talkie,fair
We Heart It,fair
Whisper,fair
SnapChat Save Pics,fair
Instachat -Instagram Messenger,fair
"Tool for Picasa, Google+ Photo",fair
TweetCaster for Twitter,fair
Instagram Followers Tracker,fair
"JustUnfollow Twitter,Instagram",fair
DH Dating - Free Singles Chat,fair
eHarmony Ì¢‰âÂ‰ÛÏ Love Begins Here,fair
Bright Camera for Facebook,fair
InstaMessage,fair
Keek - Social Video,fair
PhotoRepost - Repost Instagram,fair
GPS Tracking Pro,fair
Find My Friends!,fair
MiuMeet - Live Online Dating,fair
Quotes for Instagram,fair
"SayHi Chat, Love, Meet, Dating",fair
Lost Robot - A Physics Puzzler,unfair
activity table for babies,unfair
ER Doctor Kids Emergency Room,unfair
Frys Electronics Mobile,unfair
The Million Second Quiz,unfair
Angry Trayvon: Revenge,unfair
Square Register,unfair
"Vault-Hide SMS, Pics & Videos",unfair
USPS MOBILEÌâå¨,unfair
Facetime Plus Trendy,unfair
Call Blocker,unfair
Cisco WebEx Meetings,unfair
Authy,unfair
Intuit GoPayment Card Reader,unfair
AppLock Theme Space,unfair
AirWatch MDM Agent,unfair
BackPage Classifieds Free,unfair
Antivirus & Security,unfair
POLARIS Office for Good,unfair
Tango Talk Free Guide,unfair
Kik Messenger,unfair
WhatsApp Messenger,unfair
AntiVirus Security - FREE,unfair
